Date,Store,Product,Sales,Price,day,month,lag_1,lag_2,rolling_mean,Predicted,Reorder_Point,Inventory_Status,Revenue,Profit,Anomaly
2023-01-03,Store_A,Milk,50,43,3,1,53.0,59.0,54.0,51.63,293.88392356217287,LOW,2150,430.0,NO
2023-01-04,Store_A,Milk,56,43,4,1,50.0,53.0,53.0,55.22,311.8339235621728,LOW,2408,481.6,NO
2023-01-05,Store_A,Milk,68,43,5,1,56.0,50.0,58.0,66.42,367.8339235621728,LOW,2924,584.8000000000001,NO
2023-01-06,Store_A,Milk,70,43,6,1,68.0,56.0,64.66666666666667,69.36,382.53392356217284,LOW,3010,602.0,NO
2023-01-07,Store_A,Milk,71,43,7,1,70.0,68.0,69.66666666666667,70.68,389.13392356217287,LOW,3053,610.6,NO
2023-01-08,Store_A,Milk,66,43,8,1,71.0,70.0,69.0,67.08,371.13392356217275,LOW,2838,567.6,NO
2023-01-09,Store_A,Milk,64,43,9,1,66.0,71.0,67.0,65.02,360.8339235621728,LOW,2752,550.4,NO
2023-01-10,Store_A,Milk,75,43,10,1,64.0,66.0,68.33333333333333,74.18,406.63392356217287,LOW,3225,645.0,NO
2023-01-11,Store_A,Milk,69,43,11,1,75.0,64.0,69.33333333333333,69.49,383.1839235621728,LOW,2967,593.4,NO
2023-01-12,Store_A,Milk,70,43,12,1,69.0,75.0,71.33333333333333,70.03,385.88392356217275,LOW,3010,602.0,NO
2023-01-13,Store_A,Milk,68,43,13,1,70.0,69.0,69.0,68.79,379.6839235621728,LOW,2924,584.8000000000001,NO
2023-01-14,Store_A,Milk,66,43,14,1,68.0,70.0,68.0,66.3,367.2339235621728,LOW,2838,567.6,NO
2023-01-15,Store_A,Milk,70,43,15,1,66.0,68.0,68.0,68.96,380.53392356217273,LOW,3010,602.0,NO
2023-01-16,Store_A,Milk,72,43,16,1,70.0,66.0,69.33333333333333,71.59,393.6839235621728,LOW,3096,619.2,NO
2023-01-17,Store_A,Milk,69,43,17,1,72.0,70.0,70.33333333333333,69.19,381.6839235621728,LOW,2967,593.4,NO
2023-01-18,Store_A,Milk,68,43,18,1,69.0,72.0,69.66666666666667,68.71,379.28392356217273,LOW,2924,584.8000000000001,NO
2023-01-19,Store_A,Milk,67,43,19,1,68.0,69.0,68.0,66.97,370.5839235621728,LOW,2881,576.2,NO
2023-01-20,Store_A,Milk,73,43,20,1,67.0,68.0,69.33333333333333,72.32,397.3339235621728,LOW,3139,627.8000000000001,NO
2023-01-21,Store_A,Milk,71,43,21,1,73.0,67.0,70.33333333333333,70.45,387.9839235621728,LOW,3053,610.6,NO
2023-01-22,Store_A,Milk,71,43,22,1,71.0,73.0,71.66666666666667,71.5,393.2339235621728,LOW,3053,610.6,NO
2023-01-23,Store_A,Milk,71,43,23,1,71.0,71.0,71.0,70.64,388.9339235621728,LOW,3053,610.6,NO
2023-01-24,Store_A,Milk,73,43,24,1,71.0,71.0,71.66666666666667,72.72,399.3339235621728,LOW,3139,627.8000000000001,NO
2023-01-25,Store_A,Milk,61,43,25,1,73.0,71.0,68.33333333333333,63.46,353.03392356217284,LOW,2623,524.6,NO
2023-01-26,Store_A,Milk,71,43,26,1,61.0,73.0,68.33333333333333,71.54,393.4339235621728,LOW,3053,610.6,NO
2023-01-27,Store_A,Milk,73,43,27,1,71.0,61.0,68.33333333333333,72.03,395.88392356217275,LOW,3139,627.8000000000001,NO
2023-01-28,Store_A,Milk,69,43,28,1,73.0,71.0,71.0,68.4,377.7339235621728,LOW,2967,593.4,NO
2023-01-29,Store_A,Milk,71,43,29,1,69.0,73.0,71.0,70.86,390.03392356217284,LOW,3053,610.6,NO
2023-01-30,Store_A,Milk,57,43,30,1,71.0,69.0,65.66666666666667,59.07,331.0839235621728,LOW,2451,490.20000000000005,NO
2023-01-31,Store_A,Milk,67,43,31,1,57.0,71.0,65.0,66.49,368.1839235621728,LOW,2881,576.2,NO
2023-02-01,Store_A,Milk,54,43,1,2,67.0,57.0,59.333333333333336,56.12,316.3339235621728,LOW,2322,464.40000000000003,NO
2023-02-02,Store_A,Milk,60,43,2,2,54.0,67.0,60.333333333333336,58.27,327.0839235621728,LOW,2580,516.0,NO
2023-02-03,Store_A,Milk,61,43,3,2,60.0,54.0,58.333333333333336,61.55,343.4839235621728,LOW,2623,524.6,NO
2023-02-04,Store_A,Milk,67,43,4,2,61.0,60.0,62.666666666666664,66.17,366.5839235621728,LOW,2881,576.2,NO
2023-02-05,Store_A,Milk,59,43,5,2,67.0,61.0,62.333333333333336,60.69,339.1839235621728,LOW,2537,507.40000000000003,NO
2023-02-06,Store_A,Milk,53,43,6,2,59.0,67.0,59.666666666666664,54.77,309.5839235621728,LOW,2279,455.8,NO
2023-02-07,Store_A,Milk,64,43,7,2,53.0,59.0,58.666666666666664,63.01,350.78392356217284,LOW,2752,550.4,NO
2023-02-08,Store_A,Milk,49,43,8,2,64.0,53.0,55.333333333333336,50.02,285.8339235621728,LOW,2107,421.40000000000003,NO
2023-02-09,Store_A,Milk,53,43,9,2,49.0,64.0,55.333333333333336,53.19,301.6839235621728,LOW,2279,455.8,NO
2023-02-10,Store_A,Milk,51,43,10,2,53.0,49.0,51.0,51.57,293.5839235621728,LOW,2193,438.6,NO
2023-02-11,Store_A,Milk,47,43,11,2,51.0,53.0,50.333333333333336,47.89,275.1839235621728,LOW,2021,404.20000000000005,NO
2023-02-12,Store_A,Milk,58,43,12,2,47.0,51.0,52.0,55.82,314.8339235621728,LOW,2494,498.8,NO
2023-02-13,Store_A,Milk,50,43,13,2,58.0,47.0,51.666666666666664,50.35,287.4839235621728,LOW,2150,430.0,NO
2023-02-14,Store_A,Milk,49,43,14,2,50.0,58.0,52.333333333333336,50.64,288.9339235621728,LOW,2107,421.40000000000003,NO
2023-02-15,Store_A,Milk,49,43,15,2,49.0,50.0,49.333333333333336,49.94,285.4339235621728,LOW,2107,421.40000000000003,NO
